City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Tura,IN,78.22,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
83,Faanui,PF,79.3,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,Saint-Philippe,RE,82.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Matsuura,JP,70.47,light rain,33.3271,129.721,山福旅館
88,Camapua,BR,73.36,broken clouds,-19.5314,-54.0439,Comercial Estrela
98,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
101,Dingle,PH,86.34,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
103,Lagoa,PT,68.2,scattered clouds,39.05,-27.9833,Casa Das Faias
106,Kandi,BJ,72.3,broken clouds,11.1342,2.9386,Baric Motel De Kandi
107,Caravelas,BR,71.94,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
109,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
112,Hobart,AU,69.03,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
115,Sao Filipe,CV,77.49,overcast clouds,14.8961,-24.4956,Hotel Xaguate
117,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
118,Jacareacanga,BR,72.1,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
125,Labuhan,ID,88.43,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
128,Bintulu,MY,86.41,scattered clouds,3.1667,113.0333,900 Boutique INN
129,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
130,Saint-Pierre,RE,82.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
131,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
132,Aswan,EG,76.06,clear sky,24.0934,32.907,Nuba Nile
134,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
137,Pandan,PH,82.51,overcast clouds,14.0453,124.1694,Bonifacio Lodge
141,Butaritari,KI,81.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
152,Beri,IN,79.65,broken clouds,25.9031,79.8902,Sani sweets hous
153,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
154,Puerto Carreno,CO,77.67,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
160,San Patricio,US,70.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
162,Leeton,AU,79.9,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
163,Losal,IN,82.17,clear sky,27.4,74.9167,M. J. QURESHI
164,Jibuti,DJ,80.02,clear sky,11.5,42.5,Orchid Main Camp Goubet
169,Doha,QA,84.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
175,Ixtapa,MX,73.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
177,Saint-Leu,RE,81.68,clear sky,-21.15,55.2833,La Caz Oceane
179,Vila Franca Do Campo,PT,70.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
182,Mount Isa,AU,89.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
185,Bull Savanna,JM,74.57,scattered clouds,17.8868,-77.5902,Big Red's
187,Kahone,SN,74.34,broken clouds,14.15,-16.0333,Adjana Hotel
188,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
190,Cabo San Lucas,MX,72.7,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
192,Sao Joao Da Barra,BR,70.25,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
193,Kharhial,IN,76.26,broken clouds,20.2833,82.7667,Jeevan Chhaya
194,Salinopolis,BR,78.21,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
195,Airai,TL,71.17,overcast clouds,-8.9266,125.4092,Juvinal Martin
196,Ikwiriri,TZ,79.83,broken clouds,-7.9562,38.9716,Greenland lodge
200,Carutapera,BR,76.08,broken clouds,-1.195,-46.02,Lidera
201,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
203,Balabac,PH,84.45,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
207,Murray Bridge,AU,73.83,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
212,Pasaco,GT,72.07,broken clouds,13.9772,-90.2064,Casa Fina
213,Juazeiro,BR,75.38,light rain,-9.4117,-40.4986,JB Hotel
214,Victoria,HK,72.03,scattered clouds,22.2855,114.1577,Mini Hotel Central
218,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
219,Stilfontein,ZA,68.74,overcast clouds,-26.8449,26.7683,Revival Guest House
224,Katherine,AU,93.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
225,Hobyo,SO,81.3,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
226,Yeppoon,AU,85.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
228,Vila Velha,BR,70.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
233,Kavieng,PG,85.05,light rain,-2.5744,150.7967,Nusa Island Retreat
242,Dalby,AU,79.77,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
244,The Valley,AI,78.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
245,Acajutla,SV,78.13,overcast clouds,13.5928,-89.8275,asi es
248,Meulaboh,ID,75.49,overcast clouds,4.1363,96.1285,Kost Pria
249,Pauini,BR,73.29,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
250,Monrovia,LR,77.61,light rain,6.3005,-10.7969,Sunset Inn
251,Karmala,IN,80.51,broken clouds,18.4167,75.2,Hotel Ashutosh And Lodge
255,Turbat,PK,83.16,clear sky,26.0023,63.044,Mubashar Quarters
257,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
258,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
260,Pokhara,NP,69.57,scattered clouds,28.2333,83.9833,Butterfly Lodge
262,Twentynine Palms,US,68.07,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
263,Benghazi,LY,68.79,overcast clouds,32.1167,20.0667,Tibesti Hotel
264,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Redface Studios Meublés
268,Chabahar,IR,77.86,clear sky,25.2919,60.643,هتل گدروشیا
271,Benjamin Aceval,PY,75.6,few clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
274,Grand Gaube,MU,81.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
275,Sambava,MG,79.92,broken clouds,-14.2667,50.1667,Melrose
278,Lazaro Cardenas,MX,77.05,broken clouds,17.9583,-102.2,quinta antigua
281,Port Macquarie,AU,75.16,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
283,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
286,Zuwarah,LY,69.57,broken clouds,32.9312,12.082,يوسف
287,Pulgaon,IN,78.01,scattered clouds,20.7333,78.3333,Jagruti Vikas Prakshikshan Sanstha
288,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
289,Hasaki,JP,70.2,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
290,Samarai,PG,85.48,clear sky,-10.6167,150.6667,Nuli Sapi
291,Yenagoa,NG,75.29,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
293,Odweyne,SO,69.66,few clouds,9.4092,45.064,Eng Hiirey House
294,Bontang,ID,79.11,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
295,Kaeo,NZ,71.33,scattered clouds,-35.1,173.7833,Bushido Lodge
296,Namie,JP,68.97,scattered clouds,37.4833,141.0,いこいの村なみえ
